"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENTREZID","SYMBOL"
"ENSG00000054598",78.0901056839092,-1.67615563221366,0.215211961042284,-7.78839440008788,6.7866057481568e-15,2.25565572356791e-13,"2296","FOXC1"
"ENSG00000054793",1540.08462020633,-1.00961242411933,0.147693057441138,-6.83588275313284,8.15015824059147e-12,1.58473264126797e-10,"10079","ATP9A"
"ENSG00000055163",246.920393390287,1.49604577325063,0.224655352331555,6.6592928132988,2.7514827559912e-11,4.83895592005553e-10,"26999","CYFIP2"
"ENSG00000055732",76.165489747552,-1.0953125370859,0.276950668182806,-3.95490122581298,7.65662778794863e-05,0.000346255651776255,"55283","MCOLN3"
"ENSG00000055813",49.0895531484382,-2.5828868475585,0.268707967013742,-9.61224513088745,7.0984034451822e-22,7.00609721026766e-20,"114800","CCDC85A"
"ENSG00000056736",123.762290368856,1.82208991104751,0.35081437758941,5.19388607607203,2.05949195962455e-07,1.65922694872546e-06,"55540","IL17RB"
"ENSG00000056998",1014.15398693698,-3.97992783663868,0.317691870076117,-12.5276351443463,5.27110741296958e-36,9.14376145131018e-33,"8908","GYG2"
"ENSG00000057593",29.5058645508471,2.39464666264289,0.44988329045595,5.32281752499844,1.02172223748552e-07,8.87612645269386e-07,"2155","F7"
"ENSG00000057704",171.649100858072,-1.23671889724764,0.184672742467482,-6.69681340474706,2.13013327918937e-11,3.83566418977545e-10,"57458","TMCC3"
"ENSG00000058404",28.2484768524708,1.04886100395359,0.418371530178675,2.50700855171873,0.0121757765855063,0.0298450244198841,"816","CAMK2B"
